work_year,experience_level,employment_type,job_title,salary,salary_currency, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size
2021,EN,FT,Data Science Consultant,"54,000",EUR," $64,369.00 ",DE,50,DE,L
2020,SE,FT,Data Scientist,"60,000",EUR," $68,428.00 ",GR,100,US,L
2021,EX,FT,Head of Data Science,"85,000",USD," $85,000.00 ",RU,0,RU,M
2021,EX,FT,Head of Data,"230,000",USD," $230,000.00 ",RU,50,RU,L
2021,EN,FT,Machine Learning Engineer,"125,000",USD," $125,000.00 ",US,100,US,S
2021,SE,FT,Data Analytics Manager,"120,000",USD," $120,000.00 ",US,100,US,M
2020,MI,FT,Research Scientist,"450,000",USD," $450,000.00 ",US,0,US,M
2020,MI,FT,Data Analyst,"41,000",EUR," $46,759.00 ",FR,50,FR,L
2020,MI,FT,Data Engineer,"65,000",EUR," $74,130.00 ",AT,50,AT,L
2021,SE,FT,Data Science Engineer,"159,500",CAD," $127,543.00 ",CA,50,CA,L
2021,SE,FT,Manager Data Science,"144,000",USD," $144,000.00 ",US,100,US,L
2021,EN,FT,Data Scientist,"13,400",USD," $13,400.00 ",UA,100,UA,L
2021,MI,FT,Data Scientist,"95,000",CAD," $75,966.00 ",CA,100,CA,L
2021,MI,FT,Data Scientist,"150,000",USD," $150,000.00 ",US,100,US,M
2020,MI,FT,Data Science Consultant,"103,000",USD," $103,000.00 ",US,100,US,L
2021,SE,FT,Data Engineering Manager,"153,000",USD," $153,000.00 ",US,100,US,L
2021,MI,FT,Data Engineer,"90,000",USD," $90,000.00 ",US,100,US,L
2021,EN,FT,Data Analyst,"90,000",USD," $90,000.00 ",US,100,US,S
2021,EN,FT,Data Analyst,"60,000",USD," $60,000.00 ",US,100,US,S
2021,MI,FT,Data Scientist,"50,000",USD," $50,000.00 ",NG,100,NG,L
2021,EN,PT,AI Scientist,"12,000",USD," $12,000.00 ",PK,100,US,M
2021,MI,PT,3D Computer Vision Researcher,"400,000",INR," $5,423.00 ",IN,50,IN,M
2021,MI,CT,ML Engineer,"270,000",USD," $270,000.00 ",US,100,US,L
2021,MI,FT,Applied Data Scientist,"68,000",CAD," $54,376.00 ",GB,50,CA,L
2021,MI,FT,Machine Learning Engineer,"40,000",EUR," $47,681.00 ",ES,100,ES,S
2021,EX,FT,Director of Data Science,"130,000",EUR," $154,963.00 ",IT,100,PL,L
2021,MI,FT,Data Engineer,"110,000",PLN," $28,801.00 ",PL,100,PL,L
2021,MI,FT,Data Analytics Engineer,"110,000",USD," $110,000.00 ",US,100,US,L
2021,EN,FT,Research Scientist,"60,000",GBP," $83,000.00 ",GB,50,GB,L
2020,EN,FT,Machine Learning Engineer,"250,000",USD," $250,000.00 ",US,50,US,L
2021,EN,FT,Data Analyst,"50,000",EUR," $59,601.00 ",FR,50,FR,M
2021,SE,FT,Data Analyst,"80,000",USD," $80,000.00 ",BG,100,US,S
2021,EN,FT,Data Analyst,"10,000",USD," $10,000.00 ",NG,100,NG,S
2021,EN,FT,Machine Learning Engineer,"138,000",USD," $138,000.00 ",US,100,US,S
2021,MI,FT,Data Engineer,"140,000",USD," $140,000.00 ",US,100,US,L
2021,SE,FT,Data Analytics Engineer,"67,000",EUR," $79,866.00 ",DE,100,DE,L
2021,SE,FT,Lead Data Analyst,"170,000",USD," $170,000.00 ",US,100,US,L
2021,EN,FT,Data Analyst,"80,000",USD," $80,000.00 ",US,100,US,M
2021,MI,FT,Data Scientist,"45,760",USD," $45,760.00 ",PH,100,US,S
2021,MI,FT,BI Data Analyst,"100,000",USD," $100,000.00 ",US,100,US,M
2021,SE,FT,Data Scientist,"45,000",EUR," $53,641.00 ",FR,50,FR,L
2021,EX,FT,Head of Data,"235,000",USD," $235,000.00 ",US,100,US,L
2021,EX,FT,BI Data Analyst,"150,000",USD," $150,000.00 ",IN,100,US,L
2021,EX,FT,Data Engineering Manager,"70,000",EUR," $79,833.00 ",ES,50,ES,L
2021,EN,FT,Machine Learning Scientist,"225,000",USD," $225,000.00 ",US,100,US,L
2021,EN,FT,Data Science Consultant,"65,000",EUR," $77,481.00 ",DE,100,DE,S
2021,MI,FT,Machine Learning Infrastructure Engineer,"44,000",EUR," $50,180.00 ",PT,0,PT,M
2021,SE,FT,Marketing Data Analyst,"75,000",EUR," $89,402.00 ",GR,100,DK,L
2021,SE,FT,Lead Data Engineer,"75,000",GBP," $103,750.00 ",GB,100,GB,S
2021,SE,FT,Director of Data Engineering,"82,500",GBP," $114,125.00 ",GB,100,GB,M
2021,SE,FT,Machine Learning Engineer,"80,000",EUR," $95,362.00 ",DE,50,DE,L
2021,EN,FT,Data Engineer,"2,250,000",INR," $30,509.00 ",IN,100,IN,L
2021,SE,FT,Data Engineer,"150,000",USD," $150,000.00 ",US,100,US,M
2021,SE,FT,Data Engineer,"115,000",USD," $115,000.00 ",US,100,US,S
2021,MI,FT,Research Scientist,"235,000",CAD," $187,917.00 ",CA,100,CA,L
2021,MI,FT,Data Analyst,"37,456",GBP," $51,814.00 ",GB,50,GB,L
2021,MI,FT,Data Engineer,"106,000",USD," $106,000.00 ",US,100,US,L
2021,MI,FT,Data Engineer,"88,000",GBP," $112,872.00 ",GB,50,GB,L
2021,MI,FT,BI Data Analyst,"11,000,000",HUF," $36,732.00 ",HU,50,US,L
2021,SE,FT,Data Engineer,"150,000",USD," $150,000.00 ",US,100,US,L
2021,EN,PT,ML Engineer,"14,000",EUR," $15,966.00 ",DE,100,DE,S
2021,MI,FT,Computer Vision Software Engineer,"81,000",EUR," $96,554.00 ",DE,100,US,S
2021,EN,FT,Computer Vision Software Engineer,"70,000",USD," $70,000.00 ",US,100,US,M
2021,MI,FT,Financial Data Analyst,"450,000",USD," $450,000.00 ",US,100,US,L
2021,MI,FT,Data Scientist,"60,000",GBP," $76,958.00 ",GB,100,GB,S
2021,MI,FT,Cloud Data Engineer,"120,000",SGD," $89,514.00 ",SG,50,SG,L
2021,EN,FT,Data Scientist,"2,200,000",INR," $29,831.00 ",IN,50,IN,L
2021,SE,FT,Lead Data Engineer,"276,000",USD," $276,000.00 ",US,0,US,L
2021,SE,FT,Data Engineer,"188,000",USD," $188,000.00 ",US,100,US,L
2021,SE,FT,Cloud Data Engineer,"160,000",USD," $160,000.00 ",BR,100,US,S
2021,MI,FT,Data Scientist,"105,000",USD," $105,000.00 ",US,100,US,L
2021,MI,FT,Data Engineer,"200,000",USD," $200,000.00 ",US,100,US,L
2021,SE,FT,Data Engineering Manager,"174,000",USD," $174,000.00 ",US,100,US,L
2021,MI,FT,Data Analyst,"93,000",USD," $93,000.00 ",US,100,US,L
2021,EN,FT,Data Scientist,"2,100,000",INR," $28,475.00 ",IN,100,IN,M
2021,SE,FT,Research Scientist,"51,400",EUR," $61,270.00 ",PT,50,PT,L
2021,EN,FT,Data Scientist,"90,000",USD," $90,000.00 ",US,100,US,S
2021,MI,FT,Data Engineer,"61,500",EUR," $70,139.00 ",FR,50,FR,L
2021,EN,FT,Data Analyst,"450,000",INR," $6,072.00 ",IN,0,IN,S
2021,SE,FT,Data Engineer,"720,000",MXN," $33,511.00 ",MX,0,MX,S
2021,SE,FT,Principal Data Analyst,"170,000",USD," $170,000.00 ",US,100,US,M
2021,SE,FT,Data Engineer,"70,000",GBP," $96,833.00 ",GB,50,GB,L
2021,MI,FT,Data Engineer,"108,000",TRY," $13,105.00 ",TR,0,TR,M
2021,EN,FT,Data Scientist,"31,000",EUR," $36,952.00 ",FR,50,FR,L
2021,MI,FT,Data Engineer,"52,500",GBP," $72,625.00 ",GB,50,GB,L
2021,EN,FT,Data Analyst,"91,000",USD," $91,000.00 ",US,100,US,L
2021,SE,FT,Big Data Architect,"125,000",CAD," $99,956.00 ",CA,50,CA,M
2021,SE,FT,Data Scientist,"165,000",USD," $165,000.00 ",US,100,US,L
2021,MI,FT,Data Analyst,"80,000",USD," $80,000.00 ",US,100,US,L
2021,SE,FT,Data Scientist,"130,000",CAD," $103,954.00 ",CA,100,CA,L
2021,EN,FT,Data Engineer,"1,600,000",INR," $21,695.00 ",IN,50,IN,M
2021,EN,FT,Research Scientist,"42,000",USD," $42,000.00 ",NL,50,NL,L
2021,MI,FT,Lead Data Scientist,"115,000",USD," $115,000.00 ",AE,0,AE,L
2021,MI,FT,Research Scientist,"80,000",CAD," $63,971.00 ",CA,100,CA,M
2021,SE,FT,Machine Learning Scientist,"260,000",USD," $260,000.00 ",JP,0,JP,S
2021,MI,FT,Head of Data Science,"110,000",USD," $110,000.00 ",US,0,US,S
2021,MI,FT,Data Architect,"180,000",USD," $180,000.00 ",US,100,US,L
2021,SE,FT,Data Analyst,"200,000",USD," $200,000.00 ",US,100,US,L
2021,SE,FT,Big Data Engineer,"85,000",GBP," $109,024.00 ",GB,50,GB,M
2021,SE,FT,Director of Data Engineering,"200,000",USD," $200,000.00 ",US,100,US,L
2021,SE,FT,ML Engineer,"256,000",USD," $256,000.00 ",US,100,US,S
2021,MI,FT,Data Engineer,"110,000",USD," $110,000.00 ",US,100,US,L
2021,MI,FT,Data Scientist,"70,000",EUR," $79,833.00 ",DE,0,DE,L
2021,EN,FT,Data Engineer,"72,500",USD," $72,500.00 ",US,100,US,L
2021,SE,FT,Machine Learning Engineer,"185,000",USD," $185,000.00 ",US,50,US,L
